Using device: cpu
Loading dataset: industrial_and_scientific
Vocabulary Size (including padding): 25755
Loading LLM Semantic Vectors from /Users/rkaramyan/hybrid_recsys_capstone/src/../data/item_embeddings_industrial_and_scientific.pt...
LLM Embedding Tensor Shape: torch.Size([25755, 384])

Starting Training...
Phase 1: Freezing LLM embeddings for 5 epochs...
Epoch [1/30] | Batch [0/2032] | Loss: 12.0936
Epoch [1/30] | Batch [50/2032] | Loss: 10.0444
Epoch [1/30] | Batch [100/2032] | Loss: 9.9522
Epoch [1/30] | Batch [150/2032] | Loss: 9.8630
Epoch [1/30] | Batch [200/2032] | Loss: 9.9843
Epoch [1/30] | Batch [250/2032] | Loss: 9.7361
Epoch [1/30] | Batch [300/2032] | Loss: 9.8071
Epoch [1/30] | Batch [350/2032] | Loss: 9.6910
Epoch [1/30] | Batch [400/2032] | Loss: 9.7341
Epoch [1/30] | Batch [450/2032] | Loss: 9.7533
Epoch [1/30] | Batch [500/2032] | Loss: 9.4924
Epoch [1/30] | Batch [550/2032] | Loss: 9.7077
Epoch [1/30] | Batch [600/2032] | Loss: 9.7435
Epoch [1/30] | Batch [650/2032] | Loss: 9.5889
Epoch [1/30] | Batch [700/2032] | Loss: 9.5703
Epoch [1/30] | Batch [750/2032] | Loss: 9.3928
Epoch [1/30] | Batch [800/2032] | Loss: 9.5043
Epoch [1/30] | Batch [850/2032] | Loss: 9.4991
Epoch [1/30] | Batch [900/2032] | Loss: 9.6028
Epoch [1/30] | Batch [950/2032] | Loss: 9.5685
Epoch [1/30] | Batch [1000/2032] | Loss: 9.2657
Epoch [1/30] | Batch [1050/2032] | Loss: 9.4482
Epoch [1/30] | Batch [1100/2032] | Loss: 9.4682
Epoch [1/30] | Batch [1150/2032] | Loss: 9.5562
Epoch [1/30] | Batch [1200/2032] | Loss: 9.4953
Epoch [1/30] | Batch [1250/2032] | Loss: 9.3685
Epoch [1/30] | Batch [1300/2032] | Loss: 9.3456
Epoch [1/30] | Batch [1350/2032] | Loss: 9.4565
Epoch [1/30] | Batch [1400/2032] | Loss: 9.5293
Epoch [1/30] | Batch [1450/2032] | Loss: 9.3319
Epoch [1/30] | Batch [1500/2032] | Loss: 9.1715
Epoch [1/30] | Batch [1550/2032] | Loss: 9.3671
Epoch [1/30] | Batch [1600/2032] | Loss: 9.5908
Epoch [1/30] | Batch [1650/2032] | Loss: 9.5538
Epoch [1/30] | Batch [1700/2032] | Loss: 9.3590
Epoch [1/30] | Batch [1750/2032] | Loss: 9.4750
Epoch [1/30] | Batch [1800/2032] | Loss: 9.4657
